step time f_darcy f_darcy_dpdx tau_avg u_bulk reynolds
0 0.000000e+00 5.507869e-03 1.573653e-01 9.975154e-05 3.806387e-01 5.075183e+03
10 1.368798e-02 1.288065e-02 1.557572e-01 2.356863e-04 3.825985e-01 5.101314e+03
20 2.801649e-02 1.884419e-02 1.541961e-01 3.482963e-04 3.845304e-01 5.127072e+03
30 4.289566e-02 2.389153e-02 1.526679e-01 4.460064e-04 3.864503e-01 5.152670e+03
40 5.831021e-02 2.831554e-02 1.511651e-01 5.338488e-04 3.883664e-01 5.178219e+03
50 7.426931e-02 3.234907e-02 1.496836e-01 6.159317e-04 3.902837e-01 5.203782e+03
60 9.078875e-02 3.616694e-02 1.482228e-01 6.954112e-04 3.922022e-01 5.229362e+03
70 1.078781e-01 3.988580e-02 1.467857e-01 7.744254e-04 3.941174e-01 5.254899e+03
80 1.255327e-01 4.356414e-02 1.453780e-01 8.540343e-04 3.960209e-01 5.280278e+03
90 1.437304e-01 4.720553e-02 1.440068e-01 9.342321e-04 3.979018e-01 5.305358e+03
100 1.624341e-01 5.076835e-02 1.426786e-01 1.014096e-03 3.997495e-01 5.329994e+03
110 1.815956e-01 5.418194e-02 1.413987e-01 1.092079e-03 4.015547e-01 5.354063e+03
120 2.011607e-01 5.736592e-02 1.401699e-01 1.166390e-03 4.033109e-01 5.377479e+03
130 2.210735e-01 6.024771e-02 1.389930e-01 1.235357e-03 4.050149e-01 5.400198e+03
140 2.412797e-01 6.277473e-02 1.378664e-01 1.297691e-03 4.066664e-01 5.422218e+03
150 2.617287e-01 6.491994e-02 1.367870e-01 1.352627e-03 4.082676e-01 5.443568e+03
160 2.823749e-01 6.667896e-02 1.357509e-01 1.399880e-03 4.098227e-01 5.464303e+03
170 3.031777e-01 6.806689e-02 1.347535e-01 1.439597e-03 4.113367e-01 5.484490e+03
180 3.241024e-01 6.911229e-02 1.337900e-01 1.472233e-03 4.128152e-01 5.504203e+03
190 3.451187e-01 6.985173e-02 1.328560e-01 1.498445e-03 4.142637e-01 5.523516e+03
200 3.662010e-01 7.032493e-02 1.319474e-01 1.518984e-03 4.156875e-01 5.542499e+03
210 3.873277e-01 7.057144e-02 1.310608e-01 1.534621e-03 4.170912e-01 5.561216e+03
220 4.084805e-01 7.062837e-02 1.301929e-01 1.546097e-03 4.184791e-01 5.579721e+03
230 4.296439e-01 7.052925e-02 1.293413e-01 1.554093e-03 4.198546e-01 5.598061e+03
240 4.508051e-01 7.030351e-02 1.285037e-01 1.559217e-03 4.212207e-01 5.616276e+03
250 4.719531e-01 6.997649e-02 1.276784e-01 1.561995e-03 4.225798e-01 5.634398e+03
260 4.930788e-01 6.956961e-02 1.268640e-01 1.562882e-03 4.239340e-01 5.652454e+03
270 5.141745e-01 6.910082e-02 1.260594e-01 1.562259e-03 4.252848e-01 5.670464e+03
280 5.352338e-01 6.858496e-02 1.252637e-01 1.560446e-03 4.266334e-01 5.688446e+03
