step time inner_iter continuity_l2 mom_u_l2 mom_v_l2
0 0.000000e+00 5 1.604967e-02 5.633563e-12 4.592306e-16
10 1.368798e-02 5 9.251522e-04 1.932603e-11 2.596822e-15
20 2.801649e-02 5 1.226439e-03 2.325222e-11 6.658920e-15
30 4.289566e-02 5 1.055051e-03 1.563741e-11 6.324884e-15
40 5.831021e-02 5 8.473279e-04 5.178516e-12 3.526961e-15
50 7.426931e-02 5 7.076788e-04 4.253713e-12 3.479458e-15
60 9.078875e-02 5 6.346001e-04 5.699028e-12 4.014057e-15
70 1.078781e-01 5 5.888021e-04 7.544743e-12 4.734584e-15
80 1.255327e-01 5 5.403416e-04 9.436740e-12 5.566613e-15
90 1.437304e-01 5 4.777882e-04 1.111463e-11 6.377573e-15
100 1.624341e-01 5 4.017049e-04 1.241625e-11 7.040686e-15
110 1.815956e-01 5 3.198292e-04 1.327650e-11 7.466124e-15
120 2.011607e-01 5 2.456436e-04 1.371178e-11 7.614319e-15
130 2.210735e-01 5 1.984381e-04 1.385894e-11 7.537712e-15
140 2.412797e-01 5 1.939411e-04 1.404353e-11 7.281771e-15
150 2.617287e-01 5 2.226785e-04 1.341243e-11 8.864421e-15
160 2.823749e-01 5 2.620928e-04 1.327636e-11 8.999956e-15
170 3.031777e-01 5 2.985493e-04 1.251745e-11 7.785449e-15
180 3.241024e-01 5 3.268840e-04 1.182398e-11 6.679886e-15
190 3.451187e-01 5 3.459472e-04 1.119078e-11 5.691190e-15
200 3.662010e-01 5 3.563076e-04 1.060672e-11 4.819801e-15
210 3.873277e-01 5 3.592148e-04 1.003756e-11 4.121912e-15
220 4.084805e-01 5 3.561067e-04 9.848698e-12 3.561575e-15
230 4.296439e-01 5 3.483712e-04 1.194768e-11 6.149391e-15
240 4.508051e-01 5 3.372389e-04 1.075413e-11 5.188562e-15
250 4.719531e-01 5 3.237435e-04 9.734896e-12 4.383301e-15
260 4.930788e-01 5 3.087230e-04 8.936093e-12 3.730054e-15
270 5.141745e-01 5 2.928366e-04 8.151121e-12 3.163446e-15
280 5.352338e-01 5 2.765897e-04 7.559995e-12 2.943949e-15
290 5.562512e-01 5 2.603600e-04 7.446991e-12 2.789812e-15
300 5.772223e-01 5 2.444221e-04 1.089480e-11 3.912928e-15
310 5.981431e-01 5 2.289692e-04 9.822391e-12 3.393964e-15
320 6.190105e-01 5 2.141311e-04 8.792133e-12 2.947308e-15
330 6.398218e-01 5 1.999895e-04 7.890449e-12 2.566841e-15
340 6.605748e-01 5 1.865900e-04 7.099181e-12 2.241697e-15
350 6.812676e-01 5 1.739511e-04 7.339276e-12 2.035949e-15
360 7.018986e-01 5 1.620719e-04 1.144025e-11 3.032255e-15
370 7.224668e-01 5 1.509379e-04 1.033851e-11 2.690085e-15
380 7.429709e-01 5 1.405253e-04 9.358115e-12 2.392154e-15
390 7.634102e-01 5 1.308036e-04 8.484083e-12 2.131867e-15
400 7.837841e-01 5 1.217357e-04 8.300901e-12 2.246690e-15
410 8.040921e-01 5 1.132875e-04 8.177239e-12 2.031870e-15
420 8.243338e-01 5 1.054219e-04 1.094320e-11 1.050756e-14
430 8.445089e-01 5 9.810237e-05 1.154034e-11 9.876798e-15
440 8.646174e-01 5 9.129265e-05 1.062910e-11 9.250938e-15
450 8.846612e-01 5 9.377695e-05 9.814879e-12 8.695197e-15
460 9.046445e-01 4 9.627932e-05 9.282498e-12 8.193642e-15
470 9.245697e-01 4 9.695039e-05 9.316803e-12 7.746322e-15
480 9.444401e-01 4 9.543645e-05 1.007661e-11 7.407182e-15
490 9.642572e-01 4 9.060683e-05 1.057503e-11 7.106661e-15
500 9.840228e-01 4 9.364122e-05 1.143214e-11 6.808143e-15
510 1.003739e+00 4 9.225880e-05 1.064710e-11 6.471085e-15
520 1.023409e+00 3 9.697410e-05 1.015904e-11 6.163422e-15
530 1.043034e+00 3 9.512073e-05 9.487736e-12 5.880101e-15
540 1.062616e+00 3 9.891995e-05 9.740492e-12 5.626677e-15
550 1.082158e+00 3 9.707236e-05 1.180931e-11 5.495361e-15
560 1.101661e+00 3 9.308985e-05 1.282682e-11 5.327235e-15
570 1.121124e+00 3 9.703748e-05 1.232964e-11 5.105606e-15
580 1.140551e+00 2 9.905413e-05 1.158685e-11 4.897874e-15
590 1.159942e+00 3 9.227097e-05 1.090128e-11 4.705362e-15
600 1.179299e+00 3 9.430278e-05 1.132213e-11 4.534455e-15
610 1.198623e+00 2 9.803558e-05 1.259133e-11 4.373217e-15
620 1.217916e+00 3 9.362274e-05 1.286590e-11 4.316357e-15
630 1.237178e+00 3 9.259231e-05 1.398914e-11 4.221527e-15
640 1.256410e+00 2 9.395593e-05 1.322949e-11 4.070014e-15
650 1.275614e+00 2 9.700686e-05 1.252225e-11 3.929789e-15
660 1.294790e+00 2 9.903226e-05 1.358447e-11 3.803874e-15
670 1.313940e+00 2 9.670378e-05 1.268748e-11 3.683034e-15
680 1.333064e+00 2 9.352393e-05 1.459598e-11 3.660077e-15
690 1.352162e+00 2 9.010465e-05 1.385567e-11 3.541483e-15
700 1.371233e+00 2 9.087134e-05 1.496754e-11 3.479997e-15
710 1.390280e+00 2 9.390143e-05 1.423210e-11 3.372482e-15
720 1.409304e+00 2 9.140864e-05 1.474598e-11 3.277415e-15
730 1.428304e+00 2 9.323931e-05 1.403320e-11 3.182160e-15
740 1.447283e+00 2 8.975397e-05 1.557032e-11 3.168874e-15
750 1.466240e+00 2 9.151431e-05 1.484201e-11 3.077460e-15
760 1.485175e+00 1 9.978555e-05 1.588566e-11 3.028846e-15
770 1.504091e+00 2 9.126080e-05 1.650376e-11 2.950531e-15
780 1.522986e+00 2 9.021205e-05 1.575559e-11 2.870487e-15
790 1.541862e+00 1 9.684288e-05 1.689934e-11 2.850046e-15
800 1.560720e+00 1 9.725327e-05 1.615346e-11 2.774384e-15
810 1.579559e+00 2 9.196156e-05 1.851620e-11 2.735964e-15
820 1.598380e+00 1 9.603837e-05 1.771416e-11 2.664794e-15
830 1.617185e+00 1 9.594040e-05 1.827069e-11 2.635977e-15
840 1.635972e+00 2 9.104717e-05 1.986091e-11 2.573573e-15
850 1.654743e+00 1 9.624187e-05 2.000600e-11 2.544903e-15
860 1.673497e+00 1 9.628644e-05 1.958555e-11 2.489306e-15
870 1.692237e+00 1 9.389798e-05 1.982706e-11 2.441536e-15
880 1.710960e+00 1 9.836187e-05 1.903063e-11 2.385775e-15
890 1.729669e+00 1 9.990853e-05 1.826889e-11 2.332906e-15
900 1.748363e+00 1 9.933808e-05 1.901302e-11 2.582575e-15
910 1.767043e+00 1 9.721401e-05 1.828955e-11 2.524501e-15
920 1.785709e+00 1 9.931675e-05 1.760078e-11 2.470032e-15
930 1.804362e+00 1 9.891610e-05 1.694093e-11 2.417861e-15
940 1.823002e+00 1 9.743615e-05 1.630871e-11 2.368007e-15
950 1.841628e+00 1 9.546290e-05 1.490811e-11 4.513493e-15
960 1.860242e+00 1 9.324880e-05 1.437500e-11 4.428888e-15
970 1.878842e+00 1 9.090935e-05 1.386624e-11 4.347463e-15
980 1.897429e+00 1 8.850255e-05 1.338082e-11 4.269104e-15
990 1.916003e+00 1 8.606075e-05 1.291775e-11 4.193700e-15
1000 1.934563e+00 1 8.360399e-05 1.247612e-11 4.121137e-15
1010 1.953111e+00 1 8.114588e-05 1.205502e-11 4.051306e-15
1020 1.971645e+00 1 7.869645e-05 1.165362e-11 3.984102e-15
1030 1.990166e+00 1 7.626351e-05 1.127111e-11 3.919423e-15
1040 2.008673e+00 1 7.385332e-05 1.090672e-11 3.857172e-15
1050 2.027168e+00 1 7.147112e-05 1.055970e-11 3.797255e-15
1060 2.045649e+00 1 6.912129e-05 1.022935e-11 3.739584e-15
1070 2.064117e+00 1 6.680736e-05 9.849390e-12 3.684190e-15
1080 2.082572e+00 1 6.453201e-05 9.553841e-12 3.630783e-15
1090 2.101013e+00 1 6.229789e-05 9.272910e-12 3.579371e-15
1100 2.119441e+00 1 6.010757e-05 9.006002e-12 3.529877e-15
1110 2.137857e+00 1 5.796335e-05 8.752541e-12 3.482227e-15
1120 2.156258e+00 1 5.586728e-05 8.511972e-12 3.436350e-15
1130 2.174647e+00 1 5.382116e-05 8.283760e-12 3.392181e-15
1140 2.193022e+00 1 5.182653e-05 8.067387e-12 3.349654e-15
1150 2.211385e+00 1 4.988472e-05 7.862353e-12 3.308707e-15
1160 2.229733e+00 1 4.799688e-05 7.668171e-12 3.269281e-15
1170 2.248069e+00 1 4.616402e-05 7.484372e-12 3.231319e-15
1180 2.266392e+00 1 4.438701e-05 7.310498e-12 3.194766e-15
1190 2.284701e+00 1 4.266662e-05 7.146108e-12 3.159568e-15
1200 2.302997e+00 1 4.100358e-05 6.990769e-12 3.125677e-15
1210 2.321280e+00 1 3.939855e-05 6.844063e-12 3.093043e-15
1220 2.339550e+00 1 3.785214e-05 6.705583e-12 3.061619e-15
1230 2.357807e+00 1 3.636495e-05 6.574933e-12 3.031362e-15
1240 2.376050e+00 1 3.493759e-05 6.451728e-12 3.002228e-15
1250 2.394280e+00 1 3.357062e-05 6.335595e-12 2.974178e-15
1260 2.412497e+00 1 3.226465e-05 6.226170e-12 2.947172e-15
1270 2.430701e+00 1 3.102025e-05 6.123101e-12 2.921172e-15
1280 2.448892e+00 1 2.983802e-05 6.026046e-12 2.896143e-15
1290 2.467070e+00 1 2.871854e-05 5.934675e-12 2.872051e-15
1300 2.485234e+00 1 2.766237e-05 5.848667e-12 2.848862e-15
1310 2.503386e+00 1 2.667003e-05 5.767713e-12 2.826546e-15
1320 2.521524e+00 1 2.574199e-05 5.691514e-12 2.805071e-15
1330 2.539650e+00 1 2.487861e-05 5.619784e-12 2.784410e-15
1340 2.557762e+00 1 2.408014e-05 5.552246e-12 2.764533e-15
1350 2.575861e+00 1 2.334666e-05 5.488634e-12 2.745415e-15
1360 2.593947e+00 1 2.267806e-05 5.428695e-12 2.727029e-15
1370 2.612020e+00 1 2.207397e-05 5.372184e-12 2.709352e-15
1380 2.630080e+00 1 2.153375e-05 5.318870e-12 2.692360e-15
1390 2.648127e+00 1 2.105643e-05 5.268532e-12 2.676030e-15
1400 2.666161e+00 1 2.064071e-05 5.220958e-12 2.660340e-15
1410 2.684182e+00 1 2.028495e-05 5.175950e-12 2.645269e-15
1420 2.702190e+00 1 1.998711e-05 5.133317e-12 2.630798e-15
1430 2.720185e+00 1 1.974487e-05 5.092879e-12 2.616906e-15
1440 2.738167e+00 1 1.955556e-05 5.406023e-12 2.605509e-15
1450 2.756136e+00 1 1.941623e-05 5.167000e-12 2.599838e-15
1460 2.774092e+00 1 1.932374e-05 5.127847e-12 2.587623e-15
1470 2.792035e+00 1 1.927479e-05 5.090345e-12 2.575913e-15
1480 2.809966e+00 1 1.926597e-05 5.054368e-12 2.564691e-15
1490 2.827883e+00 1 1.929383e-05 5.019802e-12 2.553944e-15
1500 2.845788e+00 1 1.935493e-05 4.986538e-12 2.543655e-15
1510 2.863679e+00 1 1.944592e-05 4.954475e-12 2.533811e-15
1520 2.881558e+00 1 1.956354e-05 4.923520e-12 2.524399e-15
1530 2.899424e+00 1 1.970467e-05 4.893586e-12 2.515406e-15
1540 2.917277e+00 1 1.986637e-05 4.864591e-12 2.506818e-15
1550 2.935118e+00 1 2.004585e-05 4.836462e-12 2.498624e-15
1560 2.952945e+00 1 2.024060e-05 4.809130e-12 2.490813e-15
1570 2.970760e+00 1 2.044827e-05 4.782531e-12 2.483372e-15
1580 2.988562e+00 1 2.066670e-05 4.756608e-12 2.476292e-15
