step time f_darcy f_darcy_dpdx tau_avg u_bulk reynolds
0 0.000000e+00 2.673786e-03 1.573007e-01 4.844410e-05 3.807169e-01 5.076225e+03
10 1.342393e-02 9.266106e-03 1.557870e-01 1.695161e-04 3.825620e-01 5.100826e+03
20 2.701954e-02 1.284622e-02 1.543225e-01 2.372416e-04 3.843729e-01 5.124972e+03
30 4.077349e-02 1.548588e-02 1.528910e-01 2.886682e-04 3.861682e-01 5.148909e+03
40 5.467352e-02 1.760892e-02 1.514875e-01 3.312843e-04 3.879529e-01 5.172705e+03
50 6.869260e-02 1.930256e-02 1.501164e-01 3.664643e-04 3.897206e-01 5.196275e+03
60 8.280616e-02 2.066607e-02 1.487737e-01 3.958918e-04 3.914752e-01 5.219670e+03
70 9.700586e-02 2.180045e-02 1.474564e-01 4.213535e-04 3.932200e-01 5.242933e+03
80 1.112881e-01 2.278019e-02 1.461624e-01 4.441878e-04 3.949568e-01 5.266091e+03
90 1.256505e-01 2.365501e-02 1.448901e-01 4.652960e-04 3.966871e-01 5.289161e+03
100 1.400918e-01 2.445359e-02 1.436386e-01 4.851951e-04 3.984115e-01 5.312153e+03
110 1.546098e-01 2.514568e-02 1.424803e-01 5.029832e-04 4.000277e-01 5.333702e+03
120 1.691962e-01 2.570583e-02 1.414837e-01 5.178095e-04 4.014340e-01 5.352453e+03
130 1.838412e-01 2.617847e-02 1.405955e-01 5.306617e-04 4.027001e-01 5.369334e+03
140 1.985371e-01 2.659944e-02 1.397648e-01 5.424000e-04 4.038951e-01 5.385268e+03
150 2.132800e-01 2.698699e-02 1.389663e-01 5.534643e-04 4.050537e-01 5.400716e+03
160 2.280668e-01 2.733492e-02 1.382225e-01 5.636168e-04 4.061422e-01 5.415229e+03
170 2.428935e-01 2.764778e-02 1.375316e-01 5.729313e-04 4.071610e-01 5.428813e+03
180 2.577587e-01 2.793945e-02 1.368697e-01 5.817755e-04 4.081443e-01 5.441924e+03
190 2.726604e-01 2.820232e-02 1.362585e-01 5.898831e-04 4.090586e-01 5.454115e+03
200 2.875972e-01 2.845753e-02 1.356522e-01 5.978816e-04 4.099718e-01 5.466291e+03
210 3.025678e-01 2.868756e-02 1.350950e-01 6.052004e-04 4.108164e-01 5.477552e+03
220 3.175709e-01 2.889432e-02 1.345860e-01 6.118678e-04 4.115926e-01 5.487901e+03
230 3.326050e-01 2.909674e-02 1.340803e-01 6.184782e-04 4.123681e-01 5.498241e+03
