step time inner_iter continuity_l2 mom_u_l2 mom_v_l2
0 0.000000e+00 5 2.254950e-02 7.566413e-12 2.459779e-16
10 1.342393e-02 5 1.262181e-03 1.216975e-11 1.275139e-15
20 2.701954e-02 5 1.739147e-03 1.676452e-11 5.886717e-16
30 4.077349e-02 5 1.316566e-03 1.653247e-11 7.121853e-16
40 5.467352e-02 5 9.092510e-04 1.914231e-11 1.298524e-15
50 6.869260e-02 5 6.390333e-04 2.172084e-11 6.726270e-15
60 8.280616e-02 5 4.481550e-04 3.199120e-11 6.171955e-15
70 9.700586e-02 5 3.137740e-04 2.934387e-11 5.973360e-15
80 1.112881e-01 5 2.210540e-04 3.067531e-11 6.144897e-15
90 1.256505e-01 5 1.565884e-04 2.941860e-11 5.327898e-15
100 1.400918e-01 5 1.069978e-04 4.999530e-12 4.137496e-15
110 1.546098e-01 5 9.328960e-05 2.373494e-12 3.566812e-15
120 1.691962e-01 4 9.429307e-05 2.660137e-12 3.219654e-15
130 1.838412e-01 4 9.602202e-05 3.048376e-12 2.962049e-15
140 1.985371e-01 3 9.905714e-05 3.538071e-12 2.791522e-15
150 2.132800e-01 3 9.973319e-05 4.111871e-12 2.705847e-15
160 2.280668e-01 3 9.998878e-05 3.357838e-12 2.511404e-15
170 2.428935e-01 3 9.628686e-05 3.799525e-12 2.470183e-15
180 2.577587e-01 3 9.510366e-05 4.288631e-12 2.482512e-15
190 2.726604e-01 2 9.815877e-05 3.591959e-12 2.130208e-15
200 2.875972e-01 3 9.284341e-05 3.035867e-12 1.985284e-15
210 3.025678e-01 3 9.412180e-05 2.260680e-12 1.872360e-15
220 3.175709e-01 1 9.977710e-05 8.285853e-13 1.776923e-15
230 3.326050e-01 2 9.984405e-05 8.373598e-13 1.725073e-15
240 3.476685e-01 1 9.969962e-05 8.358334e-13 1.681418e-15
250 3.627604e-01 2 9.670091e-05 8.337507e-13 1.645284e-15
260 3.778791e-01 2 9.772199e-05 8.336336e-13 1.614821e-15
270 3.930226e-01 2 9.439387e-05 8.353563e-13 1.589362e-15
280 4.081893e-01 2 9.836213e-05 8.379800e-13 1.567711e-15
290 4.233775e-01 1 9.772761e-05 8.423763e-13 1.550181e-15
300 4.385857e-01 1 9.810524e-05 8.473768e-13 1.535938e-15
310 4.538123e-01 1 9.755852e-05 8.532668e-13 1.524876e-15
320 4.690559e-01 1 9.641709e-05 8.598892e-13 1.516839e-15
330 4.843154e-01 1 9.658505e-05 8.671154e-13 1.511659e-15
340 4.995892e-01 1 9.685120e-05 8.748277e-13 1.509134e-15
350 5.148769e-01 1 9.209416e-05 8.837013e-13 1.509826e-15
360 5.301784e-01 1 8.632178e-05 8.937169e-13 1.513814e-15
370 5.454940e-01 1 8.101395e-05 9.048622e-13 1.521150e-15
380 5.608238e-01 1 7.680490e-05 9.171323e-13 1.531870e-15
390 5.761679e-01 1 7.400844e-05 9.305198e-13 1.545994e-15
400 5.915264e-01 1 7.255208e-05 9.450177e-13 1.563503e-15
410 6.068995e-01 1 7.264486e-05 9.606294e-13 1.584387e-15
420 6.222875e-01 1 7.421113e-05 9.773469e-13 1.608632e-15
430 6.376904e-01 1 7.703398e-05 9.951685e-13 1.636197e-15
440 6.531085e-01 1 8.088765e-05 1.014098e-12 1.667033e-15
450 6.685419e-01 1 8.553391e-05 1.034142e-12 1.701090e-15
460 6.839909e-01 1 9.074548e-05 1.055310e-12 1.738325e-15
470 6.994556e-01 1 9.632572e-05 1.077614e-12 1.778704e-15
480 7.149366e-01 1 9.581124e-05 1.102001e-12 1.823490e-15
490 7.304359e-01 1 9.495305e-05 1.128599e-12 1.872594e-15
500 7.459550e-01 1 9.870049e-05 1.156555e-12 1.925325e-15
510 7.614955e-01 2 9.645328e-05 1.187275e-12 1.983166e-15
520 7.770592e-01 1 9.923627e-05 1.220572e-12 2.046610e-15
530 7.926483e-01 2 9.677765e-05 1.255971e-12 2.114672e-15
540 8.082648e-01 2 9.416509e-05 1.294701e-12 2.189466e-15
550 8.239114e-01 1 9.942154e-05 1.335885e-12 2.269913e-15
560 8.395902e-01 2 9.482691e-05 1.380864e-12 2.357457e-15
570 8.553043e-01 2 9.858276e-05 1.428523e-12 2.451311e-15
580 8.710550e-01 3 9.416597e-05 1.479787e-12 2.552506e-15
590 8.868455e-01 3 9.361161e-05 1.535046e-12 2.661801e-15
600 9.026780e-01 3 9.371457e-05 1.593771e-12 2.778430e-15
610 9.185550e-01 3 9.592022e-05 1.656127e-12 2.902370e-15
620 9.344781e-01 3 9.671759e-05 1.722294e-12 3.033677e-15
630 9.504493e-01 3 9.788515e-05 1.792579e-12 3.172053e-15
640 9.664704e-01 3 9.899438e-05 1.867463e-12 3.317367e-15
650 9.825434e-01 3 9.385316e-05 1.946249e-12 3.470807e-15
660 9.986708e-01 3 9.549068e-05 2.026446e-12 3.628671e-15
670 1.014852e+00 3 9.693470e-05 2.109606e-12 3.790264e-15
680 1.031088e+00 3 9.766419e-05 2.196157e-12 3.954086e-15
690 1.047377e+00 3 9.795405e-05 2.286758e-12 4.118980e-15
700 1.063719e+00 3 9.752905e-05 2.374932e-12 4.283417e-15
710 1.080113e+00 3 9.663665e-05 2.465718e-12 4.446558e-15
720 1.096559e+00 3 9.536921e-05 2.559766e-12 4.607118e-15
730 1.113056e+00 3 9.376123e-05 2.650669e-12 4.763449e-15
740 1.129603e+00 3 9.862753e-05 2.734177e-12 4.911530e-15
750 1.146197e+00 3 9.266244e-05 2.810788e-12 5.052516e-15
760 1.162837e+00 3 9.612431e-05 2.881698e-12 5.182149e-15
770 1.179519e+00 2 9.970765e-05 2.948841e-12 5.303011e-15
780 1.196242e+00 3 9.383914e-05 3.010814e-12 5.410933e-15
790 1.213002e+00 2 9.663677e-05 3.067890e-12 5.508383e-15
800 1.229798e+00 2 9.483364e-05 3.118758e-12 5.591436e-15
810 1.246627e+00 2 9.869945e-05 3.162734e-12 5.659739e-15
820 1.263484e+00 2 9.544084e-05 3.201190e-12 5.714423e-15
830 1.280369e+00 1 9.940497e-05 3.233635e-12 5.755465e-15
840 1.297278e+00 1 9.850915e-05 3.259960e-12 5.782096e-15
850 1.314209e+00 2 9.561168e-05 3.280412e-12 5.795092e-15
860 1.331159e+00 1 9.687771e-05 3.296321e-12 5.796801e-15
870 1.348128e+00 1 9.646874e-05 3.306999e-12 5.786742e-15
880 1.365113e+00 1 9.663850e-05 3.313611e-12 5.766401e-15
890 1.382112e+00 1 9.804780e-05 3.316542e-12 5.737017e-15
900 1.399125e+00 1 9.863799e-05 3.316183e-12 5.699337e-15
910 1.416149e+00 1 9.548013e-05 3.314193e-12 5.655576e-15
920 1.433186e+00 1 9.228518e-05 3.310902e-12 5.607049e-15
930 1.450235e+00 1 8.994865e-05 3.306599e-12 5.554804e-15
940 1.467295e+00 1 8.847706e-05 3.301535e-12 5.499696e-15
950 1.484368e+00 1 8.765224e-05 3.295931e-12 5.442428e-15
960 1.501451e+00 1 8.724473e-05 3.289980e-12 5.383585e-15
970 1.518547e+00 1 8.707087e-05 3.283843e-12 5.323652e-15
980 1.535653e+00 1 8.699867e-05 3.277658e-12 5.263036e-15
990 1.552770e+00 1 8.693950e-05 3.271541e-12 5.202077e-15
1000 1.569899e+00 1 8.683755e-05 3.265583e-12 5.141057e-15
1010 1.587038e+00 1 8.666065e-05 3.259855e-12 5.080209e-15
1020 1.604188e+00 1 8.639312e-05 3.254412e-12 5.019723e-15
1030 1.621348e+00 1 8.603043e-05 3.249292e-12 4.959754e-15
1040 1.638518e+00 1 8.557534e-05 3.244520e-12 4.900428e-15
1050 1.655699e+00 1 8.503512e-05 3.240107e-12 4.841842e-15
